team_id,team_name,league_id,league_name,season,rank,points,played,won,draw,lost,goals_for,goals_against,goal_diff,current_matchday
250,kilmarnock,179,scottish premiership,2025,11,21,28,4,9,15,31,55,-24,28
255,livingston,179,scottish premiership,2025,12,13,28,1,10,17,30,58,-28,28
529,barcelona,140,laliga,2025,1,61,25,20,1,4,67,25,42,25
541,real madrid,140,laliga,2025,2,60,25,19,3,3,54,21,33,25
533,villarreal,140,laliga,2025,3,51,25,16,3,6,47,27,20,25
530,atletico madrid,140,laliga,2025,4,48,25,14,6,5,42,23,19,25
543,real betis,140,laliga,2025,5,42,25,11,9,5,40,30,10,25
538,celta vigo,140,laliga,2025,6,37,25,9,10,6,34,27,7,25
540,espanyol,140,laliga,2025,7,35,25,10,5,10,31,37,-6,25
531,athletic club,140,laliga,2025,8,34,25,10,4,11,29,35,-6,25
727,osasuna,140,laliga,2025,9,33,25,9,6,10,30,29,1,25
548,real sociedad,140,laliga,2025,10,32,25,8,8,9,37,38,-1,25
536,sevilla,140,laliga,2025,11,29,25,8,5,12,32,39,-7,25
546,getafe,140,laliga,2025,12,29,25,8,5,12,20,29,-9,25
547,girona,140,laliga,2025,13,29,24,7,8,9,24,38,-14,25
728,rayo vallecano,140,laliga,2025,14,26,24,6,8,10,22,31,-9,25
542,alaves,140,laliga,2025,15,26,24,7,5,12,21,30,-9,25
532,valencia,140,laliga,2025,16,26,25,6,8,11,26,39,-13,25
797,elche,140,laliga,2025,17,25,25,5,10,10,32,37,-5,25
798,mallorca,140,laliga,2025,18,24,25,6,6,13,29,41,-12,25
539,levante,140,laliga,2025,19,18,25,4,6,15,26,44,-18,25
718,oviedo,140,laliga,2025,20,17,24,3,8,13,16,39,-23,25
645,galatasaray,203,super lig,2025,1,55,23,17,4,2,55,17,38,23
611,fenerbahce,203,super lig,2025,2,52,22,15,7,0,51,20,31,23
998,trabzonspor,203,super lig,2025,3,48,23,14,6,3,45,27,18,23
549,besiktas,203,super lig,2025,4,43,23,12,7,4,44,29,15,23
994,goztepe,203,super lig,2025,5,41,23,11,8,4,27,16,11,23
564,basaksehir,203,super lig,2025,6,36,23,10,6,7,40,26,14,23
3603,samsunspor,203,super lig,2025,7,31,23,7,10,6,25,27,-2,23
7411,kocaelispor,203,super lig,2025,8,30,23,8,6,9,21,24,-3,23
3573,gaziantep fk,203,super lig,2025,9,28,23,7,7,9,30,40,-10,23
996,alanyaspor,203,super lig,2025,10,26,23,5,11,7,25,27,-2,23
1007,rizespor,203,super lig,2025,11,24,23,5,9,9,28,35,-7,23
997,genclerbirligi,203,super lig,2025,12,23,23,6,5,12,28,34,-6,23
607,konyaspor,203,super lig,2025,13,23,23,5,8,10,27,35,-8,23
1005,antalyaspor,203,super lig,2025,14,23,23,6,5,12,22,36,-14,23
3588,eyupspor,203,super lig,2025,15,21,23,5,6,12,19,35,-16,23
1004,kasmpasa,203,super lig,2025,16,19,22,4,7,11,19,31,-12,23
1001,kayserispor,203,super lig,2025,17,19,23,3,10,10,18,43,-25,23
3589,fatih karagumruk,203,super lig,2025,18,13,23,3,4,16,20,42,-22,23
